CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Surfrider Foundation Europe,"Avenue du Gressier Le Porge, 33680 Le Porge, France",FR,North-east Atlantic Ocean,79,,,20150321,2015,Cleanup,-1.21611,44.8911,-1.21511,44.8911
Surfrider Foundation Europe,"19 Boulevard maritime Nord, 80120 Quend, France",FR,North-east Atlantic Ocean,70,,,20150321,2015,Cleanup,1.54585,50.3237,1.54685,50.3237
Surfrider Foundation Europe,"1 rue de Cayenne, 76260 Eu, France",FR,North-east Atlantic Ocean,71,,,20150321,2015,Cleanup,1.4196,50.0489,1.4206,50.0489
Surfrider Foundation Europe,"PLAGE TIZIRINE CHERCHELL, 42100 Cherchell, Alg?rie",DZ,Mediterranean Sea,91,,,20150321,2015,Cleanup,2.20266,36.6116,2.20366,36.6116
Surfrider Foundation Europe,"13 Passeig Mar?tim Barceloneta, 08003 Barcelona, Espagne",ES,Mediterranean Sea,84,,,20150321,2015,Cleanup,2.19479,41.3808,2.19579,41.3808
Surfrider Foundation Europe,"117 Avenue de la Jet?e, 83500 La Seyne-sur-Mer, France",FR,Mediterranean Sea,81,,,20150321,2015,Cleanup,5.8977,43.078,5.8987,43.078
Surfrider Foundation Europe,"34 Boulevard, 2225 AC Katwijk, Pays-Bas",NL,North-east Atlantic Ocean,67,,,20150321,2015,Cleanup,4.39607,52.2071,4.39707,52.2071
Surfrider Foundation Europe,"6 Calle Nombre, 15592 Ferrol, ",ES,North-east Atlantic Ocean,81,,,20150321,2015,Cleanup,-8.31789,43.5035,-8.31689,43.5035
Surfrider Foundation Europe,"AS-317 Muros de Nal?n, 33138 Muros de Nal?n, Espagne",ES,North-east Atlantic Ocean,81,,,20150321,2015,Cleanup,-6.1059,43.558,-6.1049,43.558
Surfrider Foundation Europe,"Via Castelo do Queijo, 4100-429 Porto, Portugal",PT,North-east Atlantic Ocean,84,,,20150321,2015,Cleanup,-8.69091,41.1742,-8.68991,41.1742
Black Sea NGO Network || MELTEMI,Kamchia,BG,Black Sea,156,Near river mouth,Sandy,20150321,2015,Cleanup,27.8888,43.02536667,27.88898333,43.02396667
Surfrider Foundation Europe,"142 Avenue Pierre Mend?s France, 13008 Marseille, France",FR,Mediterranean Sea,81,,,20150321,2015,Cleanup,5.37369,43.2551,5.37469,43.2551
Surfrider Foundation Europe,"Route de la baie, 14810 Merville Franceville Plage, France",FR,North-east Atlantic Ocean,72,,,20150321,2015,Cleanup,-0.223485,49.2793,-0.222485,49.2793
Surfrider Foundation Europe," Route du Caro, 29470 Plougastel-Daoulas, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-4.43874,48.3417,-4.43774,48.3417
Surfrider Foundation Europe,"11 Route de Lourdes, 64800 Montaut, France",Int,,81,,,20150321,2015,Cleanup,-0.194381,43.1175,-0.193381,43.1175
Surfrider Foundation Europe,", 22750 Saint-Jacut de la Mer, France",FR,North-east Atlantic Ocean,73,,,20150321,2015,Cleanup,-4.34643,48.6768,-4.34543,48.6768
Surfrider Foundation Europe,"Piscine, 63 Avenue de la Combattante, 14470 Courseulles-sur-Mer, France",FR,North-east Atlantic Ocean,72,,,20150322,2015,Cleanup,-0.451883,49.3353,-0.450883,49.3353
Surfrider Foundation Europe,"33 Musurieta Auzoa, 48650 Elexalde, Espagne",ES,North-east Atlantic Ocean,81,,,20150322,2015,Cleanup,-2.94138,43.3934,-2.94038,43.3934
Marnoba,"Cala Reona, Murcia",ES,Mediterranean Sea,100,Rural,Sandy,20150322,2015,Cleanup,-0.71341,37.61803,-0.71241,37.61803
Surfrider Foundation Europe,"Zurriola San Sebasti?n, 20002 San Sebasti?n, Espagne",ES,North-east Atlantic Ocean,81,,,20150322,2015,Cleanup,-1.97762,43.3246,-1.97662,43.3246
Surfrider Foundation Europe,"plage de Trezmalaouen, 29100 Kerlaz, France",FR,North-east Atlantic Ocean,74,,,20150322,2015,Cleanup,-4.28806,48.1037,-4.28706,48.1037
Surfrider Foundation Europe,"Parking Anse du Croc - local Malicorne Surf Association, 22240 Fr?hel, France",FR,North-east Atlantic Ocean,73,,,20150322,2015,Cleanup,-2.36573,48.6548,-2.36473,48.6548
Surfrider Foundation Europe,"113 Passeig Mar_im de la Patacona, 46120 Alboraia, Espagne",ES,Mediterranean Sea,87,,,20150322,2015,Cleanup,-0.323816,39.4949,-0.322816,39.4949
Surfrider Foundation Europe,"32 Via Cartagine, 00058 Santa Marinella, Italie",IT,Mediterranean Sea,83,,,20150322,2015,Cleanup,11.9563,42.0172,11.9573,42.0172
Surfrider Foundation Europe,"Rue du Perzel, 29217 Plougonvelin, France",FR,North-east Atlantic Ocean,73,,,20150322,2015,Cleanup,-4.70088,48.3395,-4.69988,48.3395
Surfrider Foundation Europe,"34 Passeig de Sant Joan Baptista de la Salle, 08330 Premi? de Mar, Espagne",ES,Mediterranean Sea,84,,,20150322,2015,Cleanup,2.34835,41.4857,2.34935,41.4857
Surfrider Foundation Europe,"3-5 Viale Colapesce, 90149 Palermo, Italie",IT,Mediterranean Sea,89,,,20150322,2015,Cleanup,13.3382,38.1965,13.3392,38.1965
